代码,名称
002163,海南发展
002371,北方华创
00376,云锋金融
00700,腾讯控股
00981,中芯国际
01810,小米集团-W
02050,三花智控
03690,美团-W
09988,阿里巴巴-W
600036,招商银行
600877,电科芯片
600900,长江电力
601888,中国中免
688380,中微半导
