代码,名称
YMAG,YieldMax Magnificent 7 Fund of 
TQQQ,三倍做多纳斯达克100ETF-ProShare
SQQQ,三倍做空纳斯达克100ETF-ProShare
YANG,三倍做空富时中国ETF-Direxion
YINN,三倍做多富时中国ETF-Direxion
GLL,二倍做空黄金ETF-ProShares
DULL,MicroSectors Gold -3X Inverse L
TSLL,二倍做多特斯拉ETF-Direxion
TSDD,二倍做空特斯拉ETF-GraniteShares
EWJ,日本ETF-iShares
EWY,韩国ETF-iShares MSCI
OXY,西方石油
