代码,名称
00700,腾讯控股
01810,小米集团-W
03690,美团-W
513300,纳斯达克ETF
513500,标普500ETF
513880,日经225ETF
159201,自由现金流ETF
510880,上证红利ETF
513950,恒生红利ETF
518880,黄金ETF
07777,南方两倍做多伯克希尔
510300,沪深300ETF
510500,中证500ETF
513600,恒生ETF
159781,科创创业50ETF
002594,比亚迪
600036,招商银行
600900,长江电力
512660,军工ETF
516010,游戏ETF
